ncaa_name,espn_name,primary_color,secondary_color,tertiary_color,color_4,color_5,color_6,logo_url,color_3,conference,ID
SFA,SF Austin,#3F2A55,#FFFFFF,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Stephen_F._Austin_Athletics_wordmark.svg/240px-Stephen_F._Austin_Athletics_wordmark.svg.png,NA,WAC,1372
Siena,Siena,#FFC72C,#C8102E,#006747,#693F23,NA,NA,https://upload.wikimedia.org/wikipedia/commons/d/d0/Siena_Saints_wordmark.png,NA,MAAC,1373
SIUE,SIUE,#CC0000,#FFFFFF,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/SIU_Edwardsville_Cougars_logo.svg/320px-SIU_Edwardsville_Cougars_logo.svg.png,NA,OVC,1188
SMU,SMU,#CC0035,#354CA1,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/SMU_Mustang_logo.svg/320px-SMU_Mustang_logo.svg.png,NA,AAC,1374
South Alabama,South Alabama,#00205B,#BF0D3E,NA,NA,NA,NA,https://giving.usajaguars.com/image/USA-00001_PrimaryMaster2c.png,NA,Sunbelt,1375
South Carolina,South Carolina,#73000A,#000000,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/South_Carolina_Gamecocks_logo.svg/219px-South_Carolina_Gamecocks_logo.svg.png,NA,SEC,1376
South Carolina St.,S Carolina St,#841A2B,#1E4692,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/a/ac/South_Carolina_State_Bulldogs_logo.svg/197px-South_Carolina_State_Bulldogs_logo.svg.png,NA,MEAC,1354
South Dakota,South Dakota,#AD0000,#B4B4B4,#000000,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/South_Dakota_Coyotes_logo.svg/189px-South_Dakota_Coyotes_logo.svg.png,NA,Summit,1377
South Dakota St.,South Dakota St,#0033A0,#FFD100,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/2/25/South_Dakota_State_Jackrabbits_logo.svg/315px-South_Dakota_State_Jackrabbits_logo.svg.png,NA,Summit,1355
South Fla.,USF,#006747,#CFC493,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/c/c1/South_Florida_Bulls_logo.svg/300px-South_Florida_Bulls_logo.svg.png,NA,AAC,1378
Southeast Mo. St.,SE Missouri St,#C8102E,#000000,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/3/38/SEMO_Red_Wordmark.png,NA,OVC,1369
Southeastern La.,SE Louisiana,#006341,#EAAA00,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/6/62/Southeastern_Louisiana_Lions_2021_logo.svg,NA,Southland,1368
Southern California,USC,#FFC72C,#990000,#FFC72C,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/USC_Trojans_logo.svg/161px-USC_Trojans_logo.svg.png,NA,Pac 12,1425
Southern Ill.,S Illinois,#720000,#000000,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/9/9f/Southern_Illinois_Salukis_logo.svg/320px-Southern_Illinois_Salukis_logo.svg.png,NA,MVC,1356
Southern Miss.,Southern Miss,#000000,#FFAB00,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/5/5d/Southern_Miss_Athletics_logo.svg/320px-Southern_Miss_Athletics_logo.svg.png,NA,C-USA,1379
Southern U.,Southern,#69B3E7,#FFC72C,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/7/76/Southern_Jaguars_logo.svg/273px-Southern_Jaguars_logo.svg.png,NA,SWAC,1380
